coolant_temperature,oil_pressure,oil_TDN1,oil_temp1,oil_TDN2,oil_temp2,vibration_1_x,vibration_1_y,vibration_1_z,vibration_1_n,vibration_2_x,vibration_2_y,vibration_2_z,vibration_2_n,vibration_3_x,vibration_3_y,vibration_3_z,vibration_3_n,vibration_4_x,vibration_4_y,vibration_4_z,vibration_4_n,vtotal_rms,vtotal_rms_noise,vtotal_x_rms,vtotal_y_rms,band
62.25,8.307210031,416.1,5.34,737.7,23.2,43.12169,43.56363,103.1002,100.2001,1.196476,1.63906,1.299669,40.00913,8.097028,6.947433,18.72134,102.9327,23.64812,11.82476,21.73209,101.2401,34.428,73.986,22.667,20.79,8
63,8.307210031,416.1,5.34,746.1,23.69,43.12169,43.56363,103.1002,100.2001,1.316074,1.646856,1.365035,51.45365,8.097028,6.947433,18.72134,102.9327,38.59222,15.08145,34.33817,104.0712,34.428,73.986,22.667,20.79,8
63.75,8.369905956,416.1,5.34,756.3,24.24,43.12169,43.56363,103.1002,100.2001,1.296251,1.60356,1.34199,43.53377,8.097028,6.947433,18.72134,102.9327,44.26419,17.33957,37.41028,102.2416,34.428,73.986,22.667,20.79,8
64,8.307210031,416.1,5.34,762.6,24.59,43.12169,43.56363,103.1002,100.2001,1.236148,1.588405,1.345578,50.58161,8.097028,6.947433,18.72134,102.9327,44.26419,17.33957,37.41028,102.2416,34.428,73.986,22.667,20.79,8
65,8.369905956,416.1,5.34,772.6,25.14,43.12169,43.56363,103.1002,100.2001,1.236148,1.588405,1.345578,45.87572,8.097028,6.947433,18.72134,102.9327,44.26419,17.33957,37.41028,102.2416,34.428,73.986,22.667,20.79,8
65.5,8.244514107,416.1,5.34,787.9,25.99,43.12169,43.56363,103.1002,100.2001,1.236148,1.588405,1.345578,45.87572,6.982929,3.803724,11.91395,101.6936,44.26419,17.33957,37.41028,102.2416,34.428,73.986,22.667,20.79,8
66,8.244514107,424.8,5.82,787.9,25.99,43.12169,43.56363,103.1002,100.2001,1.236148,1.588405,1.345578,45.87572,6.982929,3.803724,11.91395,101.6936,42.31084,18.37366,32.98425,102.6551,34.837,73.022,21.616,22.113,8
66.5,8.244514107,425.6,5.86,787.9,25.99,43.12169,43.56363,103.1002,100.2001,1.236148,1.588405,1.345578,45.87572,6.982929,3.803724,11.91395,101.6936,43.45287,17.61222,34.09817,103.3022,35.431,75.739,23.318,22.4,8
67,8.244514107,425.6,5.86,823.6,27.98,43.12169,43.56363,103.1002,100.2001,1.236148,1.588405,1.345578,45.87572,6.982929,3.803724,11.91395,101.6936,42.77334,17.88065,34.92005,102.2625,35.431,75.739,23.318,22.4,8
67.5,8.244514107,425.6,5.86,834,28.55,41.85352,41.85701,99.85665,102.2838,1.236148,1.588405,1.345578,45.87572,6.982929,3.803724,11.91395,101.6936,44.4463,17.84648,34.9089,104.9359,35.431,75.739,23.318,22.4,8
68,8.181818182,425.6,5.86,843.6,29.11,39.53624,39.96532,99.37409,103.2513,1.236148,1.588405,1.345578,45.87572,6.982929,3.803724,11.91395,101.6936,43.97596,18.53221,33.00906,105.6702,35.431,75.739,23.318,22.4,8
68.5,8.181818182,425.6,5.86,854.6,29.7,42.44827,41.19075,104.2631,102.2675,1.236148,1.588405,1.345578,45.87572,6.982929,3.803724,11.91395,101.6936,41.33841,16.76051,33.59009,105.5092,35.431,75.739,23.318,22.4,8
40.5,8.119122257,533.5,11.86,667.3,19.29,8.92374,5.349414,4.26358,104.5096,24.98626,10.68802,10.1257,105.0741,17.2623,14.46902,23.30654,103.9598,44.26419,17.33957,37.41028,102.2416,0.026,60.73,0.025,0.023,8
41.75,8.181818182,531.6,11.75,668.4,19.35,8.92374,5.349414,4.26358,104.5096,24.98626,10.68802,10.1257,105.0741,17.2623,14.46902,23.30654,103.9598,42.31084,18.37366,32.98425,102.6551,0.026,60.73,0.025,0.023,8
42.75,8.119122257,530.1,11.67,668.4,19.35,8.92374,5.349414,4.26358,104.5096,24.98626,10.68802,10.1257,105.0741,17.2623,14.46902,23.30654,103.9598,43.45287,17.61222,34.09817,103.3022,20.995,102.705,19.817,18.901,8
43.5,8.056426332,0,0,668.4,19.35,8.92374,5.349414,4.26358,104.5096,24.98626,10.68802,10.1257,105.0741,17.2623,14.46902,23.30654,103.9598,42.77334,17.88065,34.92005,102.2625,21.175,101.969,20.283,19.333,8
44.5,8.056426332,528.7,11.59,668.4,19.35,8.92374,5.349414,4.26358,104.5096,24.98626,10.68802,10.1257,105.0741,17.2623,14.46902,23.30654,103.9598,44.4463,17.84648,34.9089,104.9359,21.671,104.336,20.825,19.401,8
45.25,8,528.7,11.59,668.4,19.35,8.92374,5.349414,4.26358,104.5096,24.98626,10.68802,10.1257,105.0741,17.2623,14.46902,23.30654,103.9598,43.97596,18.53221,33.00906,105.6702,21.208,103.337,20.607,18.539,8
46.25,8,528.7,11.59,668.4,19.35,8.92374,5.349414,4.26358,104.5096,24.98626,10.68802,10.1257,105.0741,17.2623,14.46902,23.30654,103.9598,41.33841,16.76051,33.59009,105.5092,20.153,103.389,18.873,18.541,8
36,10.18181818,513.6,10.75,640.3,17.79,12.5832,8.709588,11.72488,104.6688,13.97349,6.820928,23.40297,103.8505,20.23857,12.24142,26.62598,100.4942,0,0,0,0,14.536,89.458,17.861,7.697,8
37,10.05642633,513.6,10.75,646,18.11,12.5832,8.709588,11.72488,104.6688,13.97349,6.820928,23.40297,103.8505,20.23857,12.24142,26.62598,100.4942,0,0,0,0,14.536,89.458,17.861,7.697,8
38,10.11912226,513.6,10.75,651.6,18.45,12.5832,8.709588,11.72488,104.6688,13.97349,6.820928,23.40297,103.8505,18.92047,13.06582,33.37162,99.40688,0,0,0,0,14.536,89.458,17.861,7.697,8
39.25,10.11912226,513.6,10.75,658.2,18.79,12.5832,8.709588,11.72488,104.6688,14.02422,7.096802,22.703,104.2168,18.92047,13.06582,33.37162,99.40688,0,0,0,0,14.536,89.458,17.861,7.697,8
40.25,10.11912226,513.6,10.75,664.7,19.18,13.82105,8.073668,11.89313,103.568,14.02422,7.096802,22.703,104.2168,18.92047,13.06582,33.37162,99.40688,0,0,0,0,14.536,89.458,17.861,7.697,8
